Speed(m/s);Position(m);Time(ms);Time(Instant);Section;Km;Meter;XPosition;YPosition
0.0;2314.8439912566837;1783885629000;2026-07-12T19:47:09Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885629000;2026-07-12T19:47:09Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885629599;2026-07-12T19:47:09.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885629999;2026-07-12T19:47:09.999Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885630599;2026-07-12T19:47:10.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885630999;2026-07-12T19:47:10.999Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885631599;2026-07-12T19:47:11.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885631999;2026-07-12T19:47:11.999Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885632599;2026-07-12T19:47:12.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885632999;2026-07-12T19:47:12.999Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885633599;2026-07-12T19:47:13.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885634199;2026-07-12T19:47:14.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885634599;2026-07-12T19:47:14.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885635199;2026-07-12T19:47:15.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885635199;2026-07-12T19:47:15.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885635599;2026-07-12T19:47:15.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885635599;2026-07-12T19:47:15.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885636199;2026-07-12T19:47:16.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885636199;2026-07-12T19:47:16.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885636599;2026-07-12T19:47:16.599Z;1;1;314;-1.0;-1.0
